#{"t_start": 1723735176.6394598, "env_id": "Cobrinha"}
r,l,t
30279.0,192,210.979483
27038.0,244,211.843534
-624.0,6,211.859494
-605.0,4,211.87151
11075.0,95,212.167065
11740.0,63,212.360183
11084.0,72,212.590187
8554.0,72,212.809139
20520.0,151,213.269131
20570.0,135,213.664145
7835.0,111,213.997131
8688.0,61,214.177205
10437.0,119,214.536296
-613.0,6,214.559336
12857.0,122,214.922472
-633.0,7,214.945501
12545.0,142,215.360668
15508.0,135,215.772675
18479.0,101,216.085556
15323.0,140,216.519517
35098.0,230,217.230516
12748.0,143,217.677516
13238.0,109,218.009516
10956.0,82,218.248563
12984.0,109,218.581516
13236.0,114,218.946573
13185.0,110,219.277517
15790.0,128,219.660516
-606.0,15,219.698516
-516.0,6,219.720531
12953.0,127,220.103745
-711.0,21,220.164758
23188.0,138,220.570659
8323.0,94,222.370689
15115.0,159,222.861729
-502.0,2,222.863742
14988.0,174,223.394322
-511.0,5,223.406323
13719.0,130,223.795335
-548.0,12,223.831368
7951.0,105,224.150323
32170.0,245,224.885339
8460.0,85,225.138324
7988.0,117,225.485029
13175.0,108,225.80627
10552.0,110,226.146228
-650.0,8,226.173228
20456.0,160,226.66324
17678.0,178,227.20327
29328.0,243,227.947228
10892.0,100,228.252228
-694.0,14,228.297228
8335.0,95,228.577243
12941.0,123,228.950233
15876.0,124,229.318228
-511.0,5,229.330226
8664.0,78,229.569735
8434.0,80,229.80673
-705.0,14,229.846149
8069.0,144,230.272271
13167.0,139,230.683215
13196.0,139,231.190295
10868.0,129,231.586093
-637.0,17,231.635095
10234.0,132,232.041137
18136.0,129,232.447108
10758.0,100,232.757512
11048.0,108,233.089517
13059.0,135,233.492473
13006.0,136,233.902461
8533.0,97,234.226488
10399.0,169,234.729492
12565.0,159,235.211489
10497.0,119,235.560493
17618.0,177,236.111478
-678.0,11,236.138486
15939.0,107,236.471493
8521.0,92,236.751478
10698.0,128,237.143492
13294.0,122,237.520485
10758.0,133,237.92453
4207.0,59,238.10353
13085.0,138,238.517482
-676.0,9,238.542489
10800.0,127,238.924495
10497.0,133,239.320496
13499.0,83,239.574491
25204.0,156,240.040478
8378.0,74,240.264477
-514.0,1,240.264477
8463.0,116,240.611488
20050.0,181,241.16449
10795.0,77,241.398484
20009.0,190,242.033478
11196.0,62,242.263503
12997.0,127,242.743489
18398.0,110,243.153486
-663.0,12,243.195491
18116.0,129,243.583534
4241.0,42,243.702479
20655.0,145,244.140485
-589.0,5,244.154486
15608.0,124,244.52748
-572.0,3,244.538478
10860.0,95,244.81151
10708.0,91,245.088478
8317.0,85,245.339788
10790.0,86,245.598774
17737.0,188,246.165158
8277.0,101,246.471194
-774.0,14,246.54316
6201.0,98,246.851172
-597.0,4,246.863158
-701.0,12,246.900168
8282.0,87,247.171097
10437.0,137,247.585768
8030.0,101,247.890719
10757.0,105,248.220762
-754.0,23,248.288411
4444.0,22,248.365393
15194.0,158,248.84238
8691.0,58,249.023384
18045.0,138,249.455389
13119.0,127,249.837394
-567.0,3,249.848388
30596.0,184,250.40038
8504.0,77,250.631388
-666.0,15,250.676391
3780.0,67,250.877388
22767.0,177,251.41638
15403.0,141,251.8724
8665.0,69,252.082394
8628.0,62,252.275382
-637.0,17,252.324433
10984.0,103,252.650396
8503.0,70,254.169212
18158.0,130,254.560225
8522.0,70,254.768324
10836.0,90,255.045352
10840.0,89,255.308407
10854.0,98,255.607485
8807.0,41,255.728464
17979.0,143,256.16398
9137.0,70,256.37398
12944.0,128,256.765979
13171.0,117,257.122014
8148.0,96,257.420015
13443.0,92,257.70208
-510.0,1,257.713036
32093.0,264,258.529088
-563.0,4,258.54205
10816.0,89,258.809052
13325.0,105,259.120037
8459.0,73,259.335045
17476.0,168,259.83709
8323.0,101,260.143036
8313.0,86,260.39404
22406.0,226,261.071683
6348.0,73,261.302188
15590.0,137,261.719469
8102.0,92,262.004484
-684.0,8,262.02949
12787.0,132,262.437006
11126.0,67,262.643013
10618.0,115,262.996001
13415.0,101,263.302003
28873.0,287,264.181064
22572.0,196,264.783118
15638.0,149,265.218065
13371.0,106,265.528066
-646.0,10,265.563065
-535.0,2,265.564066
-749.0,16,265.611068
-705.0,8,265.635078
8779.0,52,265.788077
-623.0,9,265.821118
-782.0,13,265.857649
-712.0,20,265.918171
13505.0,78,266.148172
42255.0,280,267.005172
12321.0,170,267.520193
13225.0,108,267.847172
-531.0,2,267.850172
11177.0,70,268.066185
13472.0,101,268.366184
8243.0,84,268.622192
12724.0,130,269.019973
10786.0,101,269.319032
8597.0,70,269.522974
13035.0,125,269.897973
-725.0,12,269.934973
13379.0,92,270.208424
29501.0,255,270.96192
15786.0,154,271.424928
-576.0,5,271.438918
14820.0,168,271.949929
10778.0,97,272.242931
8107.0,101,272.565968
-687.0,7,272.583927
22400.0,205,273.228917
17677.0,155,273.776923
20664.0,137,274.28592
8572.0,66,274.520917
-627.0,9,274.557933
34776.0,252,275.31399
32236.0,243,276.04298
11115.0,83,276.288027
13373.0,101,276.593015
12702.0,144,277.026983
20403.0,150,277.487981
10228.0,126,277.869023
13370.0,100,278.17398
8036.0,103,278.488981
13559.0,85,278.759985
3943.0,55,278.933
10978.0,84,279.185981
15583.0,114,279.519989
22322.0,207,280.13098
-516.0,6,280.154033
17740.0,153,280.60599
-510.0,1,280.607039
8368.0,92,280.876983
8022.0,107,281.197257
22595.0,178,281.726209
8479.0,78,281.96721
16048.0,130,282.360224
8108.0,94,282.653209
8059.0,95,282.941209
8221.0,86,283.195207
1983.0,7,283.220228
27585.0,210,283.849221
8056.0,103,284.160208
-586.0,5,284.173231
17450.0,178,286.46296
10708.0,105,286.84362
15096.0,151,287.310354
13430.0,93,287.588363
8511.0,72,287.808355
-513.0,2,287.820386
15029.0,150,288.272355
20651.0,150,288.728367
11009.0,82,289.087873
10978.0,86,289.398313
-648.0,8,289.424316
18246.0,116,289.8383
15066.0,169,290.363867
27583.0,207,290.996008
-600.0,9,291.022009
13117.0,125,291.395008
17929.0,151,291.856006
-620.0,13,291.895006
13505.0,99,292.201008
8291.0,87,292.478024
-598.0,7,292.494007
8374.0,86,292.764007
13083.0,159,293.249058
13604.0,83,293.494007
10647.0,103,293.805056
22786.0,174,294.362006
15942.0,94,294.641008
15211.0,174,295.159007
8228.0,93,295.433008
-579.0,4,295.44653
12427.0,165,295.93154
8827.0,47,296.074594
15420.0,141,296.490541
1686.0,40,296.61255
7736.0,125,296.990551
10944.0,96,297.281567
11407.0,218,297.946542
13052.0,122,298.319541
13295.0,104,298.680564
18093.0,136,299.185541
17437.0,193,299.912541
20429.0,159,300.418558
8286.0,102,300.727558
13257.0,110,301.051042
12933.0,132,301.442042
8641.0,65,301.643724
10436.0,104,301.963725
10789.0,99,302.259735
11049.0,96,302.551718
11162.0,87,302.818712
6608.0,71,303.036713
20456.0,166,303.530726
13434.0,103,303.845712
8825.0,60,304.029717
27883.0,193,304.622716
15874.0,122,305.325713
3984.0,66,305.631716
18356.0,131,306.094715
20066.0,196,306.744722
10338.0,142,307.18371
8193.0,108,307.509762
13026.0,134,307.915714
7653.0,124,308.294759
-595.0,3,308.30672
10414.0,126,308.751713
8495.0,83,309.039714
12707.0,146,309.561711
6214.0,87,309.856728
10713.0,105,310.222711
14958.0,189,310.864712
22936.0,175,311.412761
10659.0,121,311.768724
13527.0,88,312.036724
11041.0,83,312.292723
7994.0,129,312.685762
15526.0,132,313.085712
1696.0,38,313.195713
6259.0,95,313.486731
9012.0,79,313.730079
15642.0,123,314.16408
27578.0,238,314.883083
20673.0,163,315.373094
8711.0,54,315.528788
-566.0,5,315.550792
11094.0,113,315.881779
22949.0,176,316.408792
7810.0,143,316.839837
1509.0,53,317.000797
8756.0,55,317.172836
13450.0,97,317.464779
6602.0,63,317.658293
10848.0,101,317.966965
16187.0,125,319.777672
6273.0,87,320.047687
12850.0,163,320.534681
16200.0,78,320.762689
10387.0,127,321.142797
7894.0,128,321.521744
15447.0,141,321.977758
8452.0,84,322.266757
10819.0,97,322.617784
-619.0,9,322.652793
15219.0,173,323.177782
15162.0,143,323.622743
18468.0,148,324.069743
-589.0,5,324.083748
12747.0,141,324.505749
-544.0,3,324.516748
10827.0,104,324.85175
8467.0,72,325.067439
6592.0,63,325.256438
8498.0,75,325.47244
20898.0,122,325.837468
15467.0,137,326.324759
